,Products,Price
65,Lenovo LP40 Bluetooth 5.0  Touch Control Waterproof Earphone headset - White,GH₵ 65.00
66,Pocket Size 3 in 1 Inbuilt USB Cable With LED Display Powerbank - 20000mAh - White,GH₵ 60.00
67,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00
68,"116 Plus Smart Watch - 1.3"" Black",GH₵ 36.00
69,"Universal 30,000mAh Inbuilt 3 in 1USB cable Powerbank - White",GH₵ 82.00
70,Wireless Waterproof HD HIFI In-Ear Earphones,GH₵ 32.00
71,Lenovo TC02 Wireless Bluetooth Headset - Black,GH₵ 89.00
72,Combination Waterproof Sports Smart Watch - Black,GH₵ 80.00
73,Wireless Headphone Bluetooth 5.0 In-ear Stereo,GH₵ 45.00
74,Portable Power Bank - 10000mAh -Black + Samsung 64GB Pendrive Combo,GH₵ 115.00
75,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 105.00
76,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 159.00
77,Itel It 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Grey,GH₵ 73.00
78,Itel 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 90.00
79,Itel It 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Grey + Free MP3 Player,GH₵ 95.00
80,Nokia 110 (2019 Edition) Dual SIM Feature Phone - Black,GH₵ 165.00
81,Itel 2160 Dual Sim Plus FREE P47 Bluetooth Headset - 32MB ROM‎ - 4MB RAM  - Dark Blue,GH₵ 105.00
82,Nokia 105 Dual SIM 4th Edition  - 32MB ROM‎ - 4MB RAM - Black,GH₵ 130.00
83,Itel 2173 Dual SIM Cell Phone - 512MB ROM - 512MB RAM - Grey + Free BT Speaker & Pendrive,GH₵ 140.00
84,Tecno T301 Dual SIM - 4MB ROM - 4MB RAM Feature Phone - Black / Gold,GH₵ 125.00
85,Nokia 5310 XpressMusic -  2.1 Inch Blue,GH₵ 130.00
86,Nokia 105 4th Edition  Dual Sim Phone - Black,GH₵ 138.00
87,Itel It 2173 Dual Sim - 32MB ROM - 32MB RAM - Black & i12 Wireless Ear bud Combo,GH₵ 110.00
88,Nokia New C Series C2-01 Black Gold English Hebrew Keyboard Bar Phone Smart 2 Inch Screen Camera,GH₵ 210.00
89,Itel 2160 Dual SIM - 800maH - 32MB ROM - 4MB RAM - Dark Blue,GH₵ 74.00
